Company,Model,Odometer reading,fuel,transmission,owner,mileage,engine,max_power,seats,Price
Hyundai,2012,45000,Petrol,Manual,First,18.5,1197,82.85,5,335000
Tata,2007,120000,Diesel,Manual,Second,17,1405,70,5,150000
Ford,2015,64000,Diesel,Automatic,First,11.4,2953,153.86,7,1275000
Mahindra,2011,475000,Diesel,Manual,Third,13.5,2179,115,5,400000
Mahindra,2014,90000,Diesel,Manual,Second,15.1,2179,140,7,650000
Maruti,2015,36000,Petrol,Manual,First,20.4,1197,83.11,5,420000
Maruti,2011,90000,Diesel,Manual,Second,22.9,1248,74,5,375000
Tata,2017,70000,Diesel,Manual,First,21.5,1497,108.5,5,869999
Tata,2010,150000,Diesel,Manual,Third,21.12,1248,88.8,5,170000
Hyundai,2016,58000,Diesel,Manual,First,19.67,1582,126.2,5,850000
Hyundai,2014,80000,Petrol,Manual,Second,21.1,814,55.2,5,250000
Skoda,2016,11000,Petrol,Automatic,First,14.3,1598,103.5,5,645000
Maruti,2006,59000,Petrol,Manual,Second,16.1,796,37,4,114999
Chevrolet,2017,90000,Petrol,Manual,First,17.8,1199,76.8,5,350000
Maruti,2018,50000,Diesel,Manual,First,28.4,1248,74.02,5,700000
Maruti,2015,20000,Petrol,Manual,First,22.74,796,47.3,5,235000
Hyundai,2017,39000,Diesel,Manual,First,22.54,1396,88.73,5,800000
Audi,2018,31800,Diesel,Automatic,First,17.01,1968,188,5,3975000
Hyundai,2016,40000,Petrol,Manual,First,18.9,1197,82,5,450000
Hyundai,2015,63063,Petrol,Automatic,First,18.9,1197,82,5,465000
Skoda,2017,31000,Diesel,Automatic,First,21.66,1498,103.52,5,860000
Hyundai,2017,56290,Diesel,Manual,First,24,1186,73.97,5,450000
Tata,2011,70000,Diesel,Manual,Second,23.57,1396,70,5,189000
Honda,2006,100000,Petrol,Manual,Second,17.7,1497,78,5,220000
Maruti,2005,40000,Petrol,Manual,Second,19.7,796,46.3,5,90000
Ford,2014,105000,Diesel,Manual,First,21.7,1498,98.96,5,550000
Skoda,2013,100000,Petrol,Manual,First,15,1598,105,5,375000
Maruti,2007,78000,Petrol,Manual,First,19.7,796,46.3,5,130000
Ford,2015,90000,Diesel,Manual,First,22.77,1498,98.59,5,610000
Maruti,2018,20000,Petrol,Manual,First,21.4,1197,83.1,5,575000
Mahindra,2013,146000,Diesel,Manual,Second,15.96,2523,62.1,7,450000
Ford,2019,7000,Petrol,Manual,First,19.4,1194,94.93,5,675000
Maruti,2019,5621,Petrol,Automatic,First,22,1197,81.8,5,650000
Chevrolet,2016,32000,Diesel,Manual,First,18.2,1248,73.74,8,535000
Chevrolet,2010,210000,Diesel,Manual,Fourth,12.2,1994,105.3,9,409999
Hyundai,2017,110000,Diesel,Manual,First,22.54,1396,88.73,5,725000
Maruti,2013,60000,Petrol,Manual,Fourth,22.74,796,47.3,5,170000
Nissan,2015,90000,Diesel,Manual,First,20.45,1461,83.8,5,580000
Hyundai,2015,60000,Diesel,Manual,First,24,1120,70,5,370000
Toyota,2018,12800,Petrol,Automatic,First,17.8,1496,105.5,5,1080000
Renault,2018,30000,Petrol,Automatic,First,14.99,1498,104.5,5,900000
Hyundai,2013,75000,Petrol,Manual,Second,21.1,814,55.2,5,225000
Ford,2019,9500,Petrol,Manual,First,18.16,1196,86.8,5,530000
Maruti,2005,35000,Petrol,Manual,First,18.9,998,67.1,5,65000
Honda,2017,15000,Petrol,Automatic,First,15.4,1497,117.3,7,950000
Chevrolet,2016,30000,Petrol,Manual,First,18.2,1199,82.4,5,400000
Chevrolet,2016,60000,Diesel,Manual,Second,25.44,936,56.3,5,215000
Maruti,2015,120000,Petrol,Manual,First,20.51,998,67.04,5,335000
Tata,2015,110000,Diesel,Manual,First,14.1,2179,147.94,7,503000
Datsun,2015,60000,Petrol,Manual,First,20.62,1198,67,7,350000
Ford,2014,132000,Diesel,Manual,Second,22.7,1498,89.84,5,500000
Chevrolet,2011,68519,Petrol,Manual,First,16.2,995,62.1,5,130000
Datsun,2017,30000,Petrol,Manual,First,22.7,799,53.64,5,290000
Hyundai,2014,50000,Petrol,Manual,Second,18.9,1197,82,5,380000
Maruti,2018,30000,Petrol,Manual,First,21.63,998,67.04,5,475000
Toyota,2014,200000,Diesel,Manual,First,23.59,1364,67.04,5,409999
Maruti,2008,10000,Petrol,Manual,Second,16.1,796,37,4,65000
Hyundai,2019,15000,Petrol,Manual,First,17,1591,121.3,5,990000
Mahindra,2015,56975,Diesel,Manual,First,16,2179,140,7,1147000
Tata,2017,50000,Diesel,Automatic,First,17.6,2179,153.86,7,1380000
Mahindra,2017,82000,Diesel,Manual,First,18.49,1493,100,7,660000
Jaguar,2017,9000,Diesel,Automatic,First,13.6,1999,177,5,2711000
BMW,2011,50000,Diesel,Automatic,First,17.05,1995,184,5,1000000
Nissan,2015,40000,Petrol,Manual,First,13.24,1598,102.5,5,700000
Mahindra,2016,90000,Diesel,Manual,First,16,2179,140,7,800000
Mahindra,2018,40000,Diesel,Manual,First,16.5,1493,70,7,630000
Mitsubishi,2013,181491,Diesel,Manual,First,13.5,2477,175.56,7,950000
Hyundai,2014,60000,Petrol,Manual,Second,20.36,1197,78.9,5,225000
Hyundai,2011,35000,Petrol,Manual,First,21.1,814,55.2,5,180000
Maruti,2013,60000,Diesel,Manual,First,22.9,1248,74,5,350000
Maruti,2015,80000,Petrol,Manual,Second,18.5,1197,85.8,5,300000
Ford,2008,200185,Petrol,Manual,First,16.6,1388,68,5,136000
Honda,2019,35000,Petrol,Manual,First,17.5,1199,88.7,5,580000
Mahindra,2013,49700,Diesel,Manual,First,15.1,2179,140,7,950000
Datsun,2017,20000,Petrol,Manual,First,22.5,999,67,5,278000
Maruti,2014,65000,Diesel,Manual,First,25.2,1248,74,5,425000
Mahindra,2015,77000,Diesel,Automatic,Second,16,2179,140,7,1100000
Ford,2011,100000,Diesel,Manual,Second,20,1399,68,5,204999
BMW,2018,28156,Diesel,Automatic,First,17.09,2993,261.4,4,6000000
Hyundai,2018,6000,Petrol,Manual,First,18.6,1197,81.83,5,700000
Maruti,2001,42108,Petrol,Manual,First,16.1,796,37,4,39000
Hyundai,2018,20000,Petrol,Automatic,First,18.9,1197,81.86,5,531000
Mahindra,2017,42000,Diesel,Manual,Second,16,2179,140,7,1150000
Maruti,2017,25000,Petrol,Manual,First,24.7,796,47.3,5,316000
Hyundai,2013,80000,Diesel,Manual,First,25,1493,113.42,5,550000
Honda,2011,93500,Petrol,Manual,Third,17,1497,118,5,350000
Toyota,2008,60000,Petrol,Manual,Second,13.4,1794,125,5,150000
Maruti,2017,80000,Diesel,Manual,First,28.09,1248,88.5,5,860000
Maruti,2018,77800,Diesel,Manual,First,25.1,1248,88.5,5,950000
Renault,2014,120000,Diesel,Manual,First,20.45,1461,83.8,5,500000
Tata,2009,110000,Diesel,Manual,Second,17.2,1396,53.5,5,80000
Hyundai,2012,48000,CNG,Manual,First,13.2,1495,93.7,5,275000
Maruti,2017,30000,Petrol,Automatic,Second,23.1,998,67.04,5,400000
Skoda,2014,77000,Diesel,Automatic,Second,21.66,1498,103.6,5,400000
Maruti,2019,14548,Petrol,Manual,First,21.21,1197,81.8,5,595000
Tata,2012,120000,Diesel,Manual,First,23.03,1396,69,5,200000
Maruti,2018,10000,Petrol,Manual,First,23.1,998,67.04,5,580000
Chevrolet,2016,60000,Diesel,Manual,Second,22.1,1248,74,5,250000
Toyota,2015,90000,Diesel,Manual,First,12.99,2494,100.6,8,1250000
Hyundai,2015,43000,Petrol,Manual,First,21.1,814,55.2,5,270000
Maruti,2009,70000,Diesel,Manual,Second,19.3,1248,73.9,5,240000
Hyundai,2011,138000,Petrol,Manual,Third,17,1197,80,5,300000
Maruti,2015,90000,Diesel,Manual,Third,20.77,1248,88.76,7,600000
Toyota,2018,4295,Petrol,Manual,First,17.1,1496,105.5,5,1000000
Honda,2020,5500,Diesel,Manual,First,26.8,1597,118,5,2125000
Maruti,2003,50000,Petrol,Manual,Third,16.1,796,37,4,50000
Maruti,2008,120000,Diesel,Manual,First,17.8,1248,75,5,175000
Hyundai,2018,11000,Petrol,Manual,First,15.8,1591,121.3,5,1220000
Ford,2016,112879,Diesel,Manual,Second,23,1498,98.96,5,570000
Maruti,2011,70000,Petrol,Manual,Second,14,796,35,5,130000
Mahindra,2007,120000,Diesel,Manual,Third,13.6,2523,63,7,300000
Maruti,2012,16830,Petrol,Manual,First,20.2,998,67.1,5,260000
Mahindra,2018,35000,Diesel,Manual,First,15.4,2523,75,7,1000000
Hyundai,2018,15000,Petrol,Automatic,First,17.36,1197,81.86,5,575000
Ford,2015,70000,Diesel,Manual,First,25.83,1498,99,5,433000
Maruti,2015,20000,Petrol,Manual,First,23.95,998,67.05,5,300000
Maruti,2014,35000,Petrol,Manual,First,20.52,1197,81.8,5,300000
Honda,2017,12000,Petrol,Manual,First,17.5,1199,88.7,5,819999
Toyota,2018,70000,Diesel,Manual,First,13.68,2393,147.8,7,1576000
Hyundai,2019,20000,Petrol,Manual,Second,20.3,1086,68,5,420000
Mahindra,2012,100000,Diesel,Manual,Second,14,2498,112,8,409999
Maruti,2018,69779,Petrol,Automatic,First,22,1197,81.8,5,600000
Ford,2015,100581,Diesel,Manual,First,25.83,1498,99,5,415000
Hyundai,2018,40000,Diesel,Manual,First,22,1582,126.2,5,1200000
Nissan,2019,23000,Diesel,Manual,First,20.45,1461,108.5,5,1200000
Renault,2017,20171,Diesel,Automatic,First,19.87,1461,108.5,5,750000
Honda,2017,50000,Diesel,Manual,First,27.3,1498,98.6,5,670000
Maruti,2019,25000,Diesel,Manual,First,28.4,1248,74.02,5,757000
Hyundai,2019,8000,Petrol,Manual,First,18.9,1197,81.86,5,585000
Maruti,2017,35000,Petrol,Manual,First,20.51,998,67.04,5,440000
Tata,2018,85000,Diesel,Manual,Second,21.5,1497,108.5,5,800000
Renault,2013,44500,Diesel,Manual,Second,20.46,1461,83.8,5,400000
Maruti,2016,55000,Petrol,Manual,First,20.52,1197,81.8,5,434999
Maruti,2019,10000,Petrol,Automatic,First,21.21,1197,81.8,5,600000
Tata,2006,120000,Diesel,Manual,Third,16.8,1405,68,5,85000
Tata,2015,110000,Diesel,Manual,First,14.1,2179,147.94,7,503000
Maruti,2014,50000,Petrol,Manual,Second,19.7,796,46.3,5,110000
Hyundai,2016,35000,Petrol,Manual,First,21.1,814,55.2,5,300000
Ford,2017,35000,Diesel,Manual,First,25.83,1498,99,5,700000
Honda,2005,100000,Petrol,Automatic,Second,12,1493,100,5,110000
Maruti,2011,35000,Petrol,Manual,Second,20.92,998,67.1,5,210000
Tata,2009,118000,Diesel,Manual,Second,16.8,1405,62,5,90000
Ford,2016,44000,Petrol,Manual,First,18.16,1196,86.8,5,550000
Mahindra,2014,40000,Diesel,Manual,First,15.1,2179,140,7,650000
Maruti,2013,37659,Diesel,Manual,First,20.77,1248,88.8,7,700000
Hyundai,2016,25000,Petrol,Manual,First,17.19,1197,81.86,5,600000
Maruti,2005,80000,Petrol,Manual,Third,15.9,1298,85,5,93000
Hyundai,2014,20000,Petrol,Manual,First,21.1,814,55.2,5,250000
Toyota,2019,5000,Petrol,Manual,First,23.87,1197,88.5,5,700000
Toyota,2013,79328,Diesel,Manual,Second,12.99,2494,100.6,7,750000
Mahindra,2017,35000,Diesel,Manual,First,16.55,2498,105,6,775000
Tata,2017,70000,Diesel,Manual,First,19.09,1405,69.01,5,450000
Maruti,2020,70000,Petrol,Manual,Second,21.79,998,67.05,5,265000
Mahindra,2006,90000,Diesel,Manual,First,12.7,2609,116.6,8,350000
Ford,2018,27620,Diesel,Manual,First,22.77,1498,98.59,5,950000
Maruti,2014,43381,Petrol,Manual,Second,22.74,796,47.3,5,200000
Maruti,2017,70000,Petrol,Manual,First,20.85,1197,83.14,5,525000
Maruti,2011,139000,Petrol,Manual,First,18.9,998,67.1,5,246000
Honda,2014,100000,Diesel,Manual,Second,26,1498,98.6,5,560000
Hyundai,2016,77000,Diesel,Manual,First,22.54,1396,88.73,5,611000
Tata,2007,120000,Diesel,Manual,Second,13.93,2956,138.1,7,200000
Maruti,2013,43978,Diesel,Manual,Second,28.4,1248,74,5,450000
Maruti,2019,18000,Petrol,Manual,First,21.21,1197,81.8,5,610000
Hyundai,2011,20000,Petrol,Automatic,First,16.95,1197,78.9,5,265000
Mahindra,2007,110000,Diesel,Manual,Third,13.6,2523,63,7,245000
Hyundai,2014,50000,Diesel,Manual,First,22.54,1396,88.73,5,420000
Hyundai,2017,35000,Petrol,Manual,First,17,1197,80,5,600000
Maruti,2018,20000,Petrol,Manual,First,24.7,796,47.3,5,310000
Maruti,2014,50000,Petrol,Manual,First,20.4,1197,81.8,5,400000
Maruti,2017,43000,Diesel,Manual,First,24.52,1248,88.5,7,850000
Volkswagen,2018,75000,Diesel,Automatic,First,21.5,1498,108.5,5,885000
Maruti,2012,60000,Petrol,Manual,First,19,998,66.1,5,275000
Chevrolet,2012,40000,Petrol,Manual,Second,16.2,995,62.1,5,125000
Mahindra,2018,50000,Diesel,Manual,First,17.3,1497,121,7,1200000
Maruti,2012,80000,Diesel,Manual,Third,23.2,1248,73.94,5,270000
Maruti,2018,38817,Diesel,Manual,First,27.39,1248,74,5,740000
Chevrolet,2012,82000,Diesel,Manual,Third,17.3,1998,163.7,5,495000
Toyota,2015,60000,Diesel,Automatic,First,12.55,2982,168.5,7,2000000
Hyundai,2015,40000,Petrol,Automatic,First,18.9,1197,82,5,400000
Maruti,2017,120000,Diesel,Manual,First,26.59,1248,74,5,570000
Mahindra,2017,80000,Diesel,Manual,First,25.32,1198,77,6,380000
Tata,2012,80000,Diesel,Manual,First,13.93,2179,138.03,7,390000
Hyundai,2015,90000,Petrol,Manual,First,18.6,1197,81.83,5,516000
Maruti,2010,180000,Petrol,Manual,Second,19,998,67.1,5,100000
Tata,2012,110000,Diesel,Manual,Second,21.12,1248,88.8,5,300000
Volvo,2019,17000,Diesel,Automatic,First,18,1969,190,5,5500000
Hyundai,2009,70000,Petrol,Manual,Second,20.36,1197,78.9,5,199000
Hyundai,2018,10000,Petrol,Automatic,First,20.3,1086,68,5,565000
Mahindra,2019,16500,Petrol,Manual,First,17,1197,110,5,1090000
Tata,2011,97343,Diesel,Manual,First,18.8,1248,90,5,88000
Maruti,1995,70000,Petrol,Manual,First,16.1,796,37,4,55000
Maruti,2009,55500,Petrol,Manual,First,18.2,998,67.1,5,175000
Mahindra,2011,140000,Diesel,Manual,Second,13.5,2179,115,5,400000
Hyundai,2012,45000,Petrol,Manual,First,20.36,1197,78.9,5,300000
Hyundai,2010,90000,Petrol,Manual,First,17.92,1086,62.1,5,200000
Honda,2016,56494,Petrol,Manual,First,18.2,1199,88.7,5,550000
Volkswagen,2010,100000,Diesel,Manual,First,15,1896,105,5,400000
Honda,2015,135000,Diesel,Manual,First,25.1,1498,98.6,5,630000
Toyota,2018,90000,Diesel,Manual,First,23.59,1364,67.05,5,730000
Tata,2010,100000,Diesel,Manual,Second,13.93,2179,138.1,7,235000
Toyota,2016,68089,Petrol,Automatic,First,19.16,2494,157.7,5,2000000
Maruti,2015,50000,Petrol,Manual,Second,23.95,998,67.05,5,240000
Ford,2016,50000,Diesel,Manual,First,22.77,1498,98.59,5,650000
Toyota,2011,181000,Diesel,Manual,Second,11.5,2982,171,7,1150000
Volkswagen,2012,80000,Petrol,Manual,First,16.47,1198,73.9,5,415000
Renault,2015,75000,Diesel,Manual,First,19.87,1461,83.8,5,484999
Maruti,2010,58000,Petrol,Manual,First,19.7,796,46.3,5,175000
Mahindra,2018,25000,Diesel,Manual,First,15.1,2179,152.87,7,1200000
Mahindra,2010,120000,Diesel,Manual,First,14,2498,112,7,300000
Maruti,2004,60000,Petrol,Manual,Second,19.7,796,46.3,5,118000
Toyota,2015,120000,Diesel,Manual,Second,12.99,2494,100.6,7,840000
Maruti,2016,47000,Diesel,Manual,First,25.2,1248,74,5,600000
Mahindra,2016,90000,Diesel,Automatic,Second,18.49,1493,100,7,600000
Tata,2014,90000,Diesel,Manual,First,25,1396,69,5,160000
Honda,2015,30000,Diesel,Manual,First,26,1498,98.6,5,625000
Volkswagen,2017,74000,Diesel,Manual,First,22.27,1498,108.6,5,900000
Maruti,2012,120000,Diesel,Manual,First,19.3,1248,73.9,5,341000
Lexus,2019,20000,Petrol,Automatic,First,22.37,2487,214.56,5,5150000
Hyundai,2007,120000,Petrol,Manual,Second,13.2,1495,94,5,80000
Chevrolet,2010,70000,Petrol,Manual,Third,14.7,1150,76,5,148000
Honda,2013,100000,Diesel,Manual,First,25.8,1498,98.6,5,325000
Mahindra,2012,165000,Diesel,Manual,First,15.96,2523,62.1,7,450000
Renault,2018,30000,Petrol,Automatic,Second,24.04,999,67,5,400000
Tata,2011,50000,Diesel,Manual,Second,23.57,1396,70,5,153000
Honda,2014,76000,Diesel,Manual,First,25.8,1498,98.6,5,450000
Honda,2019,7032,Petrol,Automatic,First,19,1199,88.76,5,779000
Tata,2012,120000,Diesel,Manual,First,13.93,2179,138.03,7,325000
Tata,2010,26432,Petrol,Manual,First,25.4,624,37.48,4,65000
Maruti,2013,30000,Diesel,Manual,Second,20.77,1248,88.76,7,600000
Maruti,2020,5000,Petrol,Manual,First,22.05,796,47.3,5,360000
Ford,2007,80000,Petrol,Manual,Second,16.6,1388,68,5,120000
Tata,2011,120000,Diesel,Manual,First,19.4,1405,70,5,150000
Mahindra,2016,120000,Diesel,Manual,First,11,2179,120,5,750000
Honda,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,484999
Hyundai,2018,26000,Diesel,Manual,First,25.4,1186,73.97,5,680000
Mahindra,2018,40000,Diesel,Manual,First,16,2179,138,7,1530000
Hyundai,2016,50000,Petrol,Manual,First,18.6,1197,81.83,5,630000
BMW,2012,140000,Diesel,Automatic,Second,18.88,1995,184,5,1300000
BMW,2016,30000,Petrol,Automatic,Second,15.71,1998,189,5,2500000
Audi,2015,37000,Diesel,Automatic,First,18.25,1968,187.74,5,1750000
Chevrolet,2012,70000,Petrol,Manual,Third,18.6,1199,79.4,5,120000
Toyota,2010,83585,Diesel,Manual,First,21.43,1364,87.2,5,425000
BMW,2019,7500,Diesel,Automatic,First,16.78,1995,190,5,5400000
Maruti,2017,60000,CNG,Manual,First,26.6,998,58.16,5,420000
Chevrolet,2016,46000,Diesel,Automatic,Second,11.45,2776,197.2,7,1295000
Mahindra,2016,120000,Diesel,Manual,First,15.96,2523,62.1,7,550000
Hyundai,2017,34152,Petrol,Manual,First,18.9,1197,81.86,5,455000
Maruti,2010,100000,Diesel,Manual,Second,19.3,1248,73.9,5,320000
Honda,2019,7032,Petrol,Automatic,First,19,1199,88.76,5,779000
Tata,2013,95500,Diesel,Manual,Second,14,2179,138.1,7,466000
Toyota,2013,100000,Diesel,Manual,First,12.99,2494,100.6,8,800000
Toyota,2016,68089,Petrol,Automatic,First,19.16,2494,157.7,5,2000000
Maruti,2015,70000,Petrol,Manual,First,22.74,796,47.3,5,250000
Renault,2017,28000,Petrol,Manual,First,25.17,799,53.3,5,320000
Hyundai,2007,60000,Petrol,Manual,Fourth,17.92,1086,62.1,5,150000
Maruti,2018,30000,Petrol,Manual,First,24.7,796,47.3,5,310000
Hyundai,2012,120000,Diesel,Manual,First,22.32,1582,126.32,5,395000
Maruti,2010,80000,Petrol,Manual,Second,18.9,1061,67,5,200000
Maruti,2016,100000,Diesel,Manual,Second,24.3,1248,88.5,5,765000
Mahindra,2011,239451,Diesel,Manual,Second,13.6,2523,63,7,380000
Tata,2007,129000,Diesel,Manual,Third,17,1405,70,5,90177
Hyundai,2015,70000,Petrol,Manual,Third,17.19,1197,81.86,5,590000
Hyundai,2007,100000,Petrol,Manual,Second,19.81,1086,68.05,5,135000
Tata,2011,25000,Petrol,Manual,Second,26,624,35,4,46000
Maruti,2012,100000,Diesel,Manual,Second,21.5,1248,88.8,5,300000
Chevrolet,2015,50000,Petrol,Manual,First,18.2,1199,82.4,5,350000
Maruti,2010,94000,Diesel,Manual,Second,21.1,1248,75,5,311000
Maruti,2015,7967,Petrol,Manual,First,20.85,1197,83.14,5,600000
Hyundai,2013,50000,Petrol,Manual,Second,17.1,1591,121.3,5,500000
Honda,2008,110000,Petrol,Manual,Second,17.7,1497,78,5,200000
Maruti,2017,70000,Diesel,Manual,First,27.39,1248,74,5,735000
Maruti,2018,38817,Diesel,Manual,First,27.39,1248,74,5,740000
Maruti,2018,50000,Petrol,Automatic,First,22,1197,81.8,5,625000
Tata,2017,45000,Diesel,Manual,First,17.6,2179,153.86,7,1282000
Hyundai,2018,15000,Petrol,Manual,First,18.6,1197,81.83,5,650000
Maruti,2012,25000,Diesel,Manual,Second,21.5,1248,88.8,5,310000
Hyundai,2018,14000,Petrol,Manual,First,15.8,1591,121.3,5,1175000
Maruti,2007,100750,Petrol,Manual,Second,16.1,1298,88.2,5,215000
Maruti,2016,120000,Petrol,Manual,First,23.95,998,67.05,5,260000
Renault,2014,80000,Diesel,Manual,First,20.45,1461,83.8,5,480000
Hyundai,2014,10000,Petrol,Manual,First,18.6,1197,81.83,5,400000
Maruti,2019,11500,Petrol,Manual,First,21.21,1197,81.8,5,550000
Toyota,2012,250000,Diesel,Manual,First,12.99,2494,100,7,730000
Audi,2014,76131,Diesel,Automatic,First,13.22,2967,241.4,5,1850000
Maruti,2016,90000,Diesel,Automatic,First,26.59,1248,74,5,700000
Hyundai,2013,87185,Diesel,Manual,Second,22.32,1582,126.3,5,445000
Mahindra,2016,70000,Diesel,Manual,First,16,2179,140,7,1350000
Tata,2010,40000,Diesel,Manual,First,16.6,1405,70,5,140000
Maruti,2010,80000,Petrol,Manual,Fourth,19.7,796,46.3,5,125000
Maruti,2020,1000,Petrol,Automatic,First,21.21,1197,81.8,5,654000
Ford,2006,201000,Diesel,Manual,First,17.8,1399,68,5,55000
Skoda,2012,140000,Diesel,Manual,First,20.5,1598,103.5,5,295000
Toyota,2013,79328,Diesel,Manual,Second,12.99,2494,100.6,7,750000
Toyota,2016,68089,Petrol,Automatic,First,19.16,2494,157.7,5,2000000
Maruti,2018,60000,Diesel,Manual,First,28.4,1248,74,5,700000
Ford,2018,90000,Diesel,Manual,First,23,1498,98.96,5,850000
Ford,2018,50699,Diesel,Manual,First,22.77,1498,98.59,5,925000
Honda,2010,110000,Petrol,Automatic,Third,15.6,1497,116.3,5,409999
Honda,2016,50000,Petrol,Automatic,First,18,1497,117.3,5,750000
Maruti,2009,35000,Petrol,Manual,First,19.7,796,46.3,5,140000
Volkswagen,2015,34156,Petrol,Manual,First,16.47,1198,74,5,449000
Hyundai,2007,58000,Diesel,Manual,Second,16.8,1493,110,5,212000
Maruti,2014,90000,Diesel,Manual,First,20.77,1248,88.8,7,650000
Mahindra,2016,60000,Diesel,Manual,First,18.49,1493,100,7,530000
Tata,2014,120000,Diesel,Manual,Second,19.1,1405,70,5,200000
Maruti,2017,56000,Diesel,Manual,First,25.2,1248,74,5,660000
Tata,2016,120000,Diesel,Manual,First,22.95,1248,74,5,320000
Mahindra,2015,60000,Diesel,Manual,First,15.4,1997,120,7,825000
Ford,2017,113000,Diesel,Manual,First,25.83,1498,99,5,430000
Maruti,2013,60000,Diesel,Manual,Third,20.77,1248,88.8,7,600000
Tata,2013,90000,Diesel,Manual,Second,19.4,1405,70,5,150000
Mahindra,2014,136000,Diesel,Manual,First,15.1,2179,140,7,800000
Maruti,2017,20000,Petrol,Manual,First,21.4,1197,83.1,5,580000
Tata,2017,38000,Petrol,Manual,Second,23.84,1199,84,5,430000
Renault,2018,30000,Petrol,Automatic,First,24.04,999,67,5,319000
Maruti,2007,110000,Petrol,Manual,Fourth,18.9,1061,67,5,90000
Maruti,2014,35000,Petrol,Manual,First,20.51,998,67.04,5,350000
Renault,2017,28000,Petrol,Manual,First,25.17,799,53.3,5,290000
Maruti,2017,20000,Petrol,Manual,First,20.4,1197,81.8,5,500000
Tata,2010,188000,Diesel,Manual,Second,21.12,1248,88.8,5,200000
Skoda,2003,250000,Diesel,Manual,Second,18.7,1896,66,5,100000
Maruti,2017,20000,Petrol,Manual,First,22,1197,81.8,5,509999
Maruti,2014,70000,Diesel,Manual,Second,23.4,1248,74,5,600000
Honda,2016,56494,Petrol,Manual,First,18.2,1199,88.7,5,550000
Maruti,2018,25000,Petrol,Manual,First,22,1197,81.8,5,560000
Lexus,2019,20000,Petrol,Automatic,First,22.37,2487,214.56,5,5150000
Hyundai,2017,15000,Petrol,Automatic,First,17.01,1591,121.3,5,1000000
Tata,2011,80000,Diesel,Manual,Second,13.93,2179,138.03,7,300000
Mahindra,2016,120000,Diesel,Manual,First,18.49,1493,100,7,625000
Hyundai,2013,70000,Petrol,Manual,First,18.5,1197,82.85,5,375000
Mitsubishi,1999,100000,Diesel,Manual,Third,14.8,1998,68,5,155000
Toyota,2014,146000,Diesel,Manual,First,23.59,1364,67.06,5,415000
Ford,2011,70000,Diesel,Manual,First,20,1399,68,5,225000
Honda,2010,25000,Petrol,Automatic,First,16.8,1497,118,5,800000
Maruti,2010,120000,Diesel,Manual,First,21.1,1248,73.9,5,217000
Tata,2015,90000,Diesel,Manual,Second,23,1248,88.7,5,350000
Ambassador,2000,90000,Diesel,Manual,Second,12.8,1489,35.5,5,75000
Maruti,2009,95000,Petrol,Manual,Second,19,998,66.1,5,175000
Mahindra,2008,120000,Diesel,Manual,First,13.6,2523,63,8,250000
Toyota,2016,68089,Petrol,Automatic,First,19.16,2494,157.7,5,2000000
Fiat,2011,60000,Diesel,Manual,First,20.3,1248,75,5,300000
Honda,2014,160000,Diesel,Manual,First,25.1,1498,98.6,5,600000
Chevrolet,2012,70000,Petrol,Manual,Second,16.2,995,62.1,5,80000
Maruti,2013,108916,Petrol,Manual,Second,20.51,998,67.04,5,240000
Toyota,2015,126000,Diesel,Manual,Third,21.43,1364,87.2,5,790000
Tata,2015,60000,Diesel,Manual,First,13.93,2179,138.03,7,600000
Hyundai,2014,80000,Diesel,Manual,First,22.32,1582,126.32,5,700000
Hyundai,2017,56290,Diesel,Manual,First,24,1186,73.97,5,450000
Toyota,2010,200000,Diesel,Manual,First,12.8,2494,102,7,515000
Maruti,2017,80000,Diesel,Manual,First,24.52,1248,88.5,7,720000
Maruti,2015,110000,Diesel,Manual,First,26.59,1248,74,5,550000
Maruti,2018,38817,Diesel,Manual,First,27.39,1248,74,5,740000
Maruti,2008,80000,Petrol,Manual,Second,19.7,796,46.3,5,110000
Hyundai,2017,70000,Diesel,Manual,Second,22.54,1396,88.73,5,575000
Toyota,2013,120000,Diesel,Manual,Second,12.99,2494,100.57,8,850000
Maruti,2010,30000,Petrol,Manual,Third,19.7,796,46.3,5,165000
Toyota,2016,110000,Diesel,Manual,Second,13.68,2393,147.8,7,1700000
Lexus,2019,20000,Petrol,Automatic,First,22.37,2487,214.56,5,5150000
Mahindra,2010,97000,Diesel,Automatic,Second,11.79,2179,120,8,509999
Maruti,2013,70000,Diesel,Manual,Second,28.4,1248,74,5,445000
Hyundai,2019,60000,Diesel,Manual,First,22.54,1396,88.76,5,700000
Maruti,2012,24300,Petrol,Manual,First,21.21,1197,81.8,5,340000
Ford,2017,5000,Petrol,Manual,First,18.16,1196,86.8,5,650000
Renault,2017,34000,Diesel,Manual,First,21.04,1461,83.8,8,695000
Honda,2019,10500,Diesel,Manual,First,25.6,1498,97.9,5,1110000
Renault,2018,30000,Petrol,Manual,First,23.01,999,67,5,350000
Honda,2019,7032,Petrol,Automatic,First,19,1199,88.76,5,779000
Chevrolet,2011,90000,Diesel,Automatic,Second,18.1,1991,147.9,4,440000
Maruti,2016,50000,Petrol,Manual,First,20.51,998,67.04,5,325000
Toyota,2005,240000,Diesel,Manual,Third,12.8,2494,102,8,250000
